Title,Author,Source,Persona,Date_Collected,Trend_Reason,Trend_Category,Genre Tag(s),Series,Publisher,First_Publish_Year,Page_Count,Adaptation,Diversity_Rep,Content_Warnings,Description
The Serpent and the Wings of Night,Carissa Broadbent,BookTok,Kenna,25-Jan,Romantasy fav resurging with Fourth Wing fans,Romantasy Resurgence,"Romantasy, Vampires, Trials, Trauma",Yes,Self-Published,2022,496,,,"Violence, death, trauma",Oraya enters a brutal vampire trial to claim her power - and her place in a world that fears her. 
Onyx Storm,Rebecca Yarros,BookTok,Kenna,25-Jan,"Anticipated sequel, trauma themes",Series Continuation Hype,"Romantasy, Military",Yes,Entangled,2024,544,,,"PTSD, war",Book 3 of a popular dragon-themed series
A Curse Carved in Bone,Danielle L. Jensen,B&N Reads,Kenna,25-Jan,Indie dark romantasy,Indie or BIPOC Author Buzz,"Fantasy, Romance, Why Choose",Yes,Del Rey,2024,448,,,Violence,"Spicy, broody love triangle fantasy"
Legendborn,Tracy Deonn,BookTok,Kenna,25-Jan,"BIPOC author, emotional fantasy",Emotional/Trauma Themes,"YA Fantasy, Grief, Academia",Yes,Simon & Schuster,2020,512,,Bipoc,"Racism, grief",Arthurian retelling with Southern Black heroine
Scythe and Sparrow,Brynne Weaver,BookTok,Kenna,25-Jan,Queer romantasy rising,Romantasy Resurgence,"Queer Fantasy, Romance, Gothic",Yes,Self-Published,2024,380,,Lgbtq+,Grief,"Two girls, a sparrow, and emotional damage"
Problematic Summer Romance,Ali Hazelwood,BookTok,Kenna,25-Jan,Satirical viral romance,Algorithmic Popularity (General Virality),"Romance, Academia",No,Berkley,2025,368,,,Sexism,Spoof on academic romance clichés
Wild Dark Shore,Charlotte McConaghy,B&N Reads,Kenna,25-Jan,Nature + grief theme,Emotional/Trauma Themes,"Environmental Fiction, Romance",No,Flatiron,2023,400,,,Animal death,Quietly emotional eco-romance
The Knight and the Moth,Rachel Gillig,B&N Reads,Kenna,25-Jan,Moody romantasy launch,Romantasy Resurgence,"Fantasy, Gothic, Romance",Yes,Orbit,2025,432,,,"Death, war",Slow-burn lovers + political strife
Belladonna,Adalyn Grace,BookTok,Kenna,25-Jan,Gothic fantasy re-trending,Dark Academia or Speculative Trend,"YA Fantasy, Paranormal",Yes,"Little, Brown",2022,416,,,Death,She can see spirits... and kiss them
Sunrise on the Reaping,Suzanne Collins,B&N Reads,Kenna,25-Jan,Hunger Games revival,Algorithmic Popularity (General Virality),"YA, Dystopia",Yes,Scholastic,2025,TBD,,,"Death, oppression",Prequel to the original series
Stealing Sunshine,Hannah Cowan,BookTok,Kenna,25-Jan,Indie romance with grief arc,Emotional/Trauma Themes,"Contemporary, Romance, Grief",No,Self-Published,2024,350,,,"Loss, anxiety",Love story between healing people
"The Savage, Noble Death of Babs Dionne",Ron Currie,B&N Reads,Kenna,25-Jan,Lit-fic w/ social commentary,Algorithmic Popularity (General Virality),"Literary Fiction, Satire",No,Viking,2024,340,,,Suicide,Dark + witty social satire
The Amalfi Curse,Sarah Penner,B&N Reads,Kenna,25-Jan,Atmospheric + gothic blend,Dark Academia or Speculative Trend,"Mystery, Romance, Historical",No,Park Row,2024,392,,,"Cult, religious trauma",Beautiful setting + sinister secrets
Deep Cuts,Holly Brickley,B&N Reads,Kenna,25-Jan,"Sharp, emotional indie",Emotional/Trauma Themes,"Literary, Contemporary",No,Indie,2024,300,,,"SA, mental health",Raw story about recovery
Broken Country,Clare Leslie Hall,B&N Reads,Kenna,25-Jan,B&N winter pick,Algorithmic Popularity (General Virality),"Literary Fiction, Romance",No,Indie,2025,336,,,"Grief, rural trauma",Two broken people finding comfort
The Hurricane Wars,Thea Guanzon,BookTok,Kenna,25-Feb,Enemies-to-lovers romantasy + SEA rep,Romantasy Resurgence,"Romantasy, Political, Enemies-to-Lovers",Yes,Harper Voyager,2023,480,,Southeast Asian,"War, colonialism",An orphaned soldier & a shadow prince must decide if love is stronger than revolution.
His in the Dark,Willa Winters,BookTok,Kenna,25-Feb,Spice-heavy indie dark romance,Indie or BIPOC Author Buzz,"Smut, Dark Romance, Obsession",Yes,Indie,2023,360,,,"Coercion, dubcon",Possessive “he falls first” trope with blurred boundaries
Watch Me,Tahereh Mafi,B&N Reads,Kenna,25-Feb,"Quiet BookTok favorite, emotional lit-fic",Series Continuation Hype,"Literary, Contemporary, Grief",No,Harper,2024,352,,Bipoc,"Mental health, grief","A woman navigates cultural identity, depression, and hope"
Lady of Darkness,Melissa K. Roehrich,BookTok,Kenna,25-Feb,KU romantasy gaining traction,Romantasy Resurgence,"Fantasy, Romance, Trials, Smut",Yes,Indie,2022,438,,,"Abuse, emotional manipulation","A morally gray heroine battles enemies, fate, and desire"
House of Marionne,J. Elle,BookTok,Kenna,25-Feb,BIPOC dark academia vibes,Indie or BIPOC Author Buzz,"YA Fantasy, Magic, Secret Societies",Yes,Razorbill,2023,432,,Bipoc,Power imbalance,"Magical training with class, race, and romance tension"
Fourth Wing,Rebecca Yarros,BookTok,Kenna,25-Feb,"Still trending post-Iron Flame, rereads",Algorithmic Popularity (General Virality),"Romantasy, Dragons, Military School",Yes,Entangled,2023,528,,,"PTSD, violence",Violet’s brutal training and spicy romance keep it viral
